2025-10-17|01:30:19|Paycheck|Taco Bell|950.0
2025-10-17|01:32:13|Bonus Check |Target|2150.0
2025-10-17|01:32:57|Groceries|Costco|-2350.0
2025-10-17|01:33:32|Paycheck|Google|33000.0
2025-10-17|01:33:59|Refund|Triple A|375.0
2025-10-17|01:34:36|Lunch|Ruth Chris|-8500.0
2025-10-17|01:35:20|Salary|Gold Valley Scaffolding|423000.0
2025-10-17|01:36:00|Paycheck |Gold Valley Scaffolding |91200.0
2025-10-17|01:37:38|Debt Paid|Car Loan |-97500.0
2025-10-17|01:38:35|Direct Deposit |Social Security Retirement |3100.0
2025-10-17|01:39:08|Direct Deposit |Social Security Backpay |10000.0
